date,deposit/withdraw,shares,initial_aum,final_aum,gross_performance,liabilities,management_fee,intermediate_nav,performance_fee,total_fee,estimated_aum,estimated_nav,returns
2025-09-01 00:00:00+02:00,101210.9,9817,882543.4928081345,982634.85,-1119.5428081346,195.41501195509613,377.93648076923074,100.09522766629317,0.0,377.93648076923074,982061.4985072756,100.0368237248931,-0.0017176989144014332
2025-09-08 00:00:00+02:00,0.0,9817,982065.1549880449,979552.94,-2512.2149880449,195.36925535730768,376.75113076923077,99.7812916369563,0.0,376.75113076923077,978980.8196138734,99.72301310113816,-0.0031369510953079827
2025-09-15 00:00:00+02:00,0.0,9817,978984.4707446427,979171.94,187.4692553573,195.5957100206154,376.6045923076923,99.74248140979932,0.0,376.6045923076923,978599.7396976716,99.68419473338817,-0.0003892618819151261
2025-09-22 00:00:00+02:00,0.0,9817,978603.3842899794,979210.8,607.4157100206,194.9157982523077,376.61953846153847,99.74643984924111,0.0,376.61953846153847,978639.2646632862,99.68822090896263,4.038930730421164e-05
2025-09-29 00:00:00+02:00,0.0,9817,978642.9142017477,986219.55,7576.6357982523,195.39963647788463,379.315211538462,100.4603799531425,491.5960000000101,870.9112115384721,985153.2391519836,100.35176114413605,0.006656154850826157
2025-10-06 00:00:00+02:00,0.0,9817,985156.870363522,981086.03,-4070.840363522,195.9328506501154,377.3407807692308,99.93745849037384,0.0,377.3407807692308,980512.7563685807,99.87906248024659,-0.004710417221383101
2025-10-13 00:00:00+02:00,94885.69,10767,980516.4071493499,1087384.59,11982.49285065,202.67933807180768,418.224842307692,100.99234605739761,1472.528000000029,1890.7528423077208,1085291.1578196206,100.79791565149257,0.00919965755012675
2025-10-20 00:00:00+02:00,28226.8,11047,1085295.3006619283,1105089.46,-8432.6406619283,205.00034365853847,425.0344076923077,100.0352548203132,0.0,425.0344076923077,1104459.4252486492,99.97822261687782,-0.008132043498288555
2025-10-27 00:00:00+01:00,0.0,11047,1104463.5396563415,1094130.64,-10332.8996563415,203.383699232,420.81947692307693,99.04323707793971,0.0,420.81947692307693,1093506.436823845,98.98673276218385,-0.009917058222703279
2025-11-03 00:00:00+01:00,0.0,11047,1093510.506300768,1111568.5,18057.993699232,203.5059954980769,427.526346153846,100.6217525119942,0.0,427.526346153846,1110937.4676583481,100.56463000437658,0.01594049220700766
2025-11-10 00:00:00+01:00,101573.63,12057,1110941.6040045018,1228567.86,16052.6259954983,210.81516339826922,472.5261,101.89664593182384,2668.8180000000057,3141.3441000000057,1225215.7007366018,101.61861994995454,0.010480722153823674
2025-11-17 00:00:00+01:00,0.0,12057,1225220.3848366018,1231359.99,6139.6051633982,211.91428875975,473.5999961538461,102.12822343866634,1225.529999999999,1699.1299961538452,1229448.9457150863,101.96972262711175,0.003455101804473726
2025-11-24 00:00:00+01:00,33855.5,12389,1229449.0057112402,1257977.63,-5326.8757112402,212.33590713148075,483.83754999999996,101.53988457502622,0.0,483.83754999999996,1257281.4565428684,101.48369170577676,-0.004766423883610371
2025-12-01 00:00:00+01:00,37039.13,12754,1257281.4540928686,1275977.62,-18342.9640928685,213.03040295165383,490.760623076923,100.04528932099734,0.0,490.760623076923,1275273.8289739715,99.99010733683328,-0.014717481635115437
2025-12-08 00:00:00+01:00,0.0,12754,1275273.8295970487,1267520.17,-7753.6595970487,212.0690561335769,487.5077576923077,99.38216794731065,0.0,487.5077576923077,1266820.593186174,99.3273163859318,-0.006628565250647811
2025-12-15 00:00:00+01:00,0.0,12754,1266820.5909438664,1261239.53,-5581.0609438664,211.8507345738077,485.092126923077,98.88972322408657,0.0,485.092126923077,1260542.587138503,98.8350781824136,-0.004955718340417303
2025-12-22 00:00:00+01:00,49421.09,13254,1260542.5892654262,1310328.6,364.9207345738,215.95302036807692,503.9725384615384,98.86287913082843,2.287913082842863,506.2604515443813,1309606.3865280875,98.80838890358288,-0.0002700385260125948
2025-12-29 00:00:00+01:00,0.0,13254,1309608.676979632,1308579.82,-1028.856979632,216.4100126723077,503.29993076923074,98.7309355666214,0.0,503.29993076923074,1307860.1100565586,98.67663422789789,-0.0013334361297354658
2026-01-06 00:00:00+01:00,0.0,13254,1307860.1099873276,1307686.26,-173.8499873276,216.93396584026925,502.9562538461538,98.66351742870077,0.0,502.9562538461538,1306966.3697803137,98.60920248832909,-0.0006833607580601919
2026-01-12 00:00:00+01:00,0.0,13254,1306966.3660341597,1306630.39,-335.9760341597,216.39607832784614,502.55015,98.58385317639957,0.0,502.55015,1305911.443771672,98.52960945915738,-0.0008071562000627752
